framework,benchmark,requests,duration,bytes,requests_per_sec,bytes_per_sec,latency_min,latency_mean,latency_max
python-fastapi,json,188210,29910188.0,28430335,6292.5,950523.45,2199552.0,6832924.07,15859712.0
python-fastapi,hello,256158,29868390.0,35876870,8576.22,1201165.18,328.0,1823895.35,6909952.0
go-std,json,299228,29837671.0,42789604,10028.53,1434079.89,62.0,997.72,33088.0
go-std,hello,299376,29753223.0,38918880,10061.97,1308055.94,44.0,942.31,18144.0
rust-warp,json,298706,29762191.0,40026604,10036.43,1344880.96,57.0,945.71,15960.0
rust-warp,hello,299271,29853204.0,38905230,10024.75,1303217.91,58.0,1239.2,999936.0
node-express,hello,261444,29920590.0,62746560,8737.93,2097103.03,1256448.0,2715027.61,4427776.0
node-express,json,155640,29997546.0,39532560,5188.42,1317859.8,4947968.0,8578377.45,14860288.0
python-flask,json,67112,31743805.0,12549944,2114.18,395350.97,6418432.0,14909059.24,24051712.0
python-flask,hello,74408,31666225.0,12872584,2349.76,406508.32,5820416.0,13906327.59,23248896.0
go-fasthttp,hello,299093,29837841.0,44265764,10023.95,1483544.47,28.0,883.34,18656.0
go-fasthttp,json,299364,29840574.0,48197604,10032.11,1615170.14,38.0,878.27,44672.0
rust-actix,hello,299621,29890437.0,38950730,10023.98,1303116.78,53.0,1201.56,37408.0
rust-actix,json,298934,29796419.0,40057156,10032.55,1344361.41,54.0,1159.88,29632.0
